Reference bit,dirty bit,age,access count,Row ID,Timestamp,PID,Process Name,Page/Frame ID,Offset/size,Operation Type(R/W),CPU/Core ID,Status/flag,Hash/UUID of page
0,0,0,1,9471,9E+13,0,swapper,283473384,8,R,6,0,c9a4bed46e746f85e0f18ff6b91247b4
0,0,0,1,9472,9E+13,0,swapper,283473392,8,R,6,0,98d04d048249335b7f074ec8c299c6c8
0,1,0,1,9473,9E+13,2718,kjournald,437134096,8,W,6,0,7af77c9f4bab63d9ee29764662b9b0a1
0,1,0,1,9474,9E+13,2718,kjournald,437134104,8,W,6,0,b18474151d485770cfb42b32c8382610
0,1,0,1,9475,9E+13,2718,kjournald,437134112,8,W,6,0,b46577788001fc9dbe5e6b46c28b147e
0,1,0,1,9476,9E+13,2718,kjournald,437134120,8,W,6,0,00aecc2f860c9e9e24af7373ffea1c50
0,1,0,1,9477,9E+13,2718,kjournald,437134128,8,W,6,0,e7f711fc6d75fb7b8c5c79bc69ed547a
0,1,0,1,9478,9E+13,2718,kjournald,437134136,8,W,6,0,39a153c72840171934f08bbada5524f6
0,1,0,1,9479,9E+13,2718,kjournald,437134144,8,W,6,0,ddffa1ba79d9c08da8a2af41b99cb0be
0,0,0,1,9480,9E+13,0,swapper,283473400,8,R,6,0,75d13ee4d71b65ebbbb683a277eeb684
0,0,0,1,9481,9E+13,0,swapper,283473408,8,R,6,0,4f993e6deebbb5f0cedd65d9d256cb02
0,0,0,1,9482,9E+13,0,swapper,283473416,8,R,6,0,225784126f38afda2bac92f0363a4310
0,0,0,1,9483,9E+13,0,swapper,283473424,8,R,6,0,23c44e6bd85df7b7114bf5a55886e3b3
0,0,0,1,9484,9E+13,0,swapper,283473432,8,R,6,0,8165c6bcd6369901c57390ff087982bc
0,0,0,1,9485,9E+13,0,swapper,283473440,8,R,6,0,aca6725e174d472086dcf5ce406ddb70
0,0,0,1,9486,9E+13,0,swapper,283473448,8,R,6,0,b7a4d0cb390d0eaa317f6b7560411aaf
0,0,0,1,9487,9E+13,0,swapper,283473456,8,R,6,0,9f44f221f05d0fce80f36995147c0455
0,0,0,1,9488,9E+13,0,swapper,283473464,8,R,6,0,39165a0e6d2de13d22f7eae43ec94838
0,0,0,1,9489,9E+13,0,swapper,283473472,8,R,6,0,ccfadc9727e2fb6388ec831830469402
0,0,0,1,9490,9E+13,0,swapper,283473480,8,R,6,0,a51133500cc3e24a748c74b7469f0269
0,0,0,1,9491,9E+13,0,swapper,283473488,8,R,6,0,228056d98b76ae8eea54febdf2c7745f
0,0,0,1,9492,9E+13,0,swapper,283473496,8,R,6,0,73a6ba08eab0ce5b8273f83e8aa17b74
0,0,0,1,9493,9E+13,0,swapper,283473504,8,R,6,0,e69cad32a72ff825c35a7d52141090f2
